00001,1997-01-01
00002,1997-01-12
00003,1997-01-02
00004,1997-01-01
00005,1997-01-01
00006,1997-01-01
00007,1997-01-01
00008,1997-01-01
00009,1997-01-01
00010,1997-01-21
00011,1997-01-01
00012,1997-01-01
00013,1997-01-01
00014,1997-01-01
00015,1997-01-01
00016,1997-01-01
00017,1997-01-01
00018,1997-01-04
00019,1997-01-01
00020,1997-01-01
00021,1997-01-01
00022,1997-01-01
00023,1997-01-01
00024,1997-01-01
00025,1997-01-01
00026,1997-01-01
00027,1997-01-07
00028,1997-01-01
00029,1997-01-01
00030,1997-01-01
00031,1997-01-01
00032,1997-01-01
00033,1997-01-01
00034,1997-01-01
00035,1997-01-01
00036,1997-01-01
00037,1997-01-29
00038,1997-01-01
00039,1997-01-01
00040,1997-01-01
00041,1997-01-01
00042,1997-01-01
00043,1997-01-01
00044,1997-01-01
00045,1997-01-01
00046,1997-01-01
00047,1997-01-01
00048,1997-01-01
00049,1997-01-01
00050,1997-01-01
00051,1997-01-27
00052,1997-01-02
00053,1997-01-01
00054,1997-01-01
00055,1997-01-01
00056,1997-01-01
00057,1997-01-01
00058,1997-01-01
00059,1997-01-01
00060,1997-02-01
00061,1997-01-01
00062,1997-01-01
00063,1997-01-01
00064,1997-01-03
00065,1997-01-01
00066,1997-01-01
00067,1997-01-01
00068,1997-01-01
00069,1997-01-01
00070,1997-01-01
00071,1997-01-01
00072,1997-01-01
00073,1997-01-01
00074,1997-01-01
00075,1997-01-01
00076,1997-01-01
00077,1997-01-01
00078,1997-01-13
00079,1997-01-01
00080,1997-01-01
00081,1997-01-01
00082,1997-01-01
00083,1997-01-01
00084,1997-01-01
00085,1997-01-03
00086,1997-01-01
00087,1997-01-01
00088,1997-02-24
00089,1997-01-01
00090,1997-01-01
00091,1997-01-01
00092,1997-01-01
00093,1997-01-01
00094,1997-01-02
00095,1997-01-03
00096,1997-01-01
00097,1997-01-01
00098,1997-01-01
00099,1997-01-01
00100,1997-01-01
00101,1997-01-18
00102,1997-01-01
00103,1997-02-17
00104,1997-01-01
00105,1997-01-01
00106,1997-01-01
00107,1997-01-01
00108,1997-01-01
00109,1997-01-12
00110,1997-01-01
00111,1997-01-01
00112,1997-01-01
00113,1997-01-01
00114,1997-01-01
00115,1997-01-01
00116,1997-01-01
00117,1997-01-01
00118,1997-01-01
00119,1997-01-01
00120,1997-01-01
00121,1997-01-01
00122,1997-01-01
00123,1997-01-01
00124,1997-01-01
00125,1997-01-01
00126,1997-01-03
00127,1997-01-01
00128,1997-01-01
00129,1997-01-01
00130,1997-01-01
00131,1997-01-01
00132,1997-01-01
00133,1997-01-01
00134,1997-01-01
00135,1997-01-01
00136,1997-01-01
00137,1997-01-01
00138,1997-01-01
00139,1997-01-06
00140,1997-01-01
00141,1997-01-01
00142,1997-01-02
00143,1997-01-01
00144,1997-01-01
00145,1997-01-01
00146,1997-01-01
00147,1997-01-28
00148,1997-01-01
00149,1997-01-01
00150,1997-01-01
00151,1997-01-01
00152,1997-01-01
00153,1997-01-01
00154,1997-01-01
00155,1997-01-01
00156,1997-01-01
00157,1997-01-01
00158,1997-01-01
00159,1997-01-01
00160,1997-01-01
00161,1997-01-01
00162,1997-01-01
00163,1997-01-01
00164,1997-01-05
00165,1997-01-01
00166,1997-01-01
00167,1997-01-19
00168,1997-01-01
00169,1997-01-01
00170,1997-01-01
00171,1997-01-01
00172,1997-01-01
00173,1997-01-01
00174,1997-01-01
00175,1997-01-01
00176,1997-01-01
00177,1997-01-01
00178,1997-01-01
00179,1997-01-01
00180,1997-01-01
00181,1997-01-01
00182,1997-01-01
00183,1997-01-01
00184,1997-01-01
00185,1997-02-27
00186,1997-01-02
00187,1997-01-01
00188,1997-01-01
00189,1997-01-01
00190,1997-01-01
